start_frame,start_time,end_frame,end_time,duration
17,1742889224.118269,17,1742889224.156171,0.037902116775512695
68,1742889226.202741,68,1742889226.2428281,0.040087223052978516
442,1742889240.756246,442,1742889240.795017,0.03877091407775879
555,1742889244.651909,555,1742889244.6907892,0.038880109786987305
618,1742889247.189174,618,1742889247.2284532,0.03927922248840332
687,1742889249.934446,687,1742889249.974633,0.04018688201904297
746,1742889252.2277582,746,1742889252.267061,0.039302825927734375
824,1742889255.292748,824,1742889255.331267,0.03851914405822754
879,1742889257.440232,879,1742889257.479317,0.03908491134643555
933,1742889259.533047,933,1742889259.571292,0.03824496269226074
986,1742889261.626606,986,1742889261.666357,0.03975105285644531
1041,1742889263.753611,1041,1742889263.792906,0.03929495811462402
1095,1742889265.859488,1095,1742889265.898581,0.039093017578125
1149,1742889267.940832,1149,1742889267.978726,0.03789401054382324
1203,1742889270.057145,1203,1742889270.096164,0.039018869400024414
1286,1742889272.992467,1286,1742889273.031713,0.0392460823059082
1337,1742889275.072555,1337,1742889275.111369,0.03881382942199707
